yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000, speed: 10.000000
 yellow line angle: -0.054611, obstacle angle: -0.087266, obstacle dist: 13.285346, obstacle steering: -0.016359, steer: -0.029703, speed: 10.000000
 yellow line angle: -0.054558, obstacle angle: -0.078540, obstacle dist: 13.203585, obstacle steering: -0.016717, steer: -0.029789, speed: 10.000000
 yellow line angle: -0.054427, obstacle angle: -0.078540, obstacle dist: 13.055738, obstacle steering: -0.016656, steer: -0.029930, speed: 10.000000
 yellow line angle: -0.054166, obstacle angle: -0.078540, obstacle dist: 12.911440, obstacle steering: -0.016650, steer: -0.029928, speed: 10.000000
 yellow line angle: -0.054212, obstacle angle: -0.078540, obstacle dist: 12.769414, obstacle steering: -0.016501, steer: -0.030878, speed: 10.000000
 yellow line angle: -0.053536, obstacle angle: -0.078540, obstacle dist: 12.629866, obstacle steering: -0.017303, steer: -0.029587, speed: 10.000000
 yellow line angle: -0.053002, obstacle angle: -0.078540, obstacle dist: 12.492918, obstacle steering: -0.015863, steer: -0.030055, speed: 10.000000
 yellow line angle: -0.052050, obstacle angle: -0.078540, obstacle dist: 12.358306, obstacle steering: -0.016181, steer: -0.029294, speed: 10.000000
 yellow line angle: -0.051760, obstacle angle: -0.078540, obstacle dist: 12.228006, obstacle steering: -0.015272, steer: -0.030855, speed: 10.000000
 yellow line angle: -0.051398, obstacle angle: -0.069813, obstacle dist: 12.014539, obstacle steering: -0.015857, steer: -0.030930, speed: 10.000000
 yellow line angle: -0.051192, obstacle angle: -0.069813, obstacle dist: 11.872872, obstacle steering: -0.015753, steer: -0.031498, speed: 10.000000
 yellow line angle: -0.050529, obstacle angle: -0.069813, obstacle dist: 11.732857, obstacle steering: -0.016141, steer: -0.030721, speed: 10.000000
 yellow line angle: -0.049217, obstacle angle: -0.061086, obstacle dist: 11.664454, obstacle steering: -0.014525, steer: -0.029389, speed: 10.000000
 yellow line angle: -0.047733, obstacle angle: -0.061086, obstacle dist: 11.508354, obstacle steering: -0.012974, steer: -0.028962, speed: 10.000000
 yellow line angle: -0.047070, obstacle angle: -0.061086, obstacle dist: 11.358547, obstacle steering: -0.012330, steer: -0.030720, speed: 10.000000
 yellow line angle: -0.047157, obstacle angle: -0.061086, obstacle dist: 11.213382, obstacle steering: -0.013873, steer: -0.032523, speed: 10.000000
 yellow line angle: -0.047257, obstacle angle: -0.061086, obstacle dist: 11.069740, obstacle steering: -0.015457, steer: -0.032860, speed: 10.000000
 yellow line angle: -0.046406, obstacle angle: -0.061086, obstacle dist: 10.928577, obstacle steering: -0.015574, steer: -0.031022, speed: 10.000000
 yellow line angle: -0.044967, obstacle angle: -0.061086, obstacle dist: 10.787458, obstacle steering: -0.013510, steer: -0.029757, speed: 10.000000
 yellow line angle: -0.043359, obstacle angle: -0.061086, obstacle dist: 10.647413, obstacle steering: -0.012014, steer: -0.029277, speed: 10.000000
 yellow line angle: -0.042243, obstacle angle: -0.061086, obstacle dist: 10.509830, obstacle steering: -0.011303, steer: -0.030235, speed: 10.000000
 yellow line angle: -0.041121, obstacle angle: -0.061086, obstacle dist: 10.372651, obstacle steering: -0.012023, steer: -0.030191, speed: 10.000000
 yellow line angle: -0.040892, obstacle angle: -0.043633, obstacle dist: 10.309715, obstacle steering: -0.010175, steer: -0.032163, speed: 10.000000
 yellow line angle: -0.040073, obstacle angle: -0.043633, obstacle dist: 10.153264, obstacle steering: -0.011837, steer: -0.031021, speed: 10.000000
 yellow line angle: -0.039677, obstacle angle: -0.043633, obstacle dist: 10.004251, obstacle steering: -0.010393, steer: -0.032005, speed: 10.000000
 yellow line angle: -0.038341, obstacle angle: -0.043633, obstacle dist: 9.859068, obstacle steering: -0.011073, steer: -0.030020, speed: 10.000000
 yellow line angle: -0.037192, obstacle angle: -0.043633, obstacle dist: 9.718687, obstacle steering: -0.008786, steer: -0.030331, speed: 10.000000
 yellow line angle: -0.035501, obstacle angle: -0.043633, obstacle dist: 9.587355, obstacle steering: -0.008806, steer: -0.029036, speed: 10.000000
 yellow line angle: -0.033931, obstacle angle: -0.034907, obstacle dist: 9.387470, obstacle steering: -0.006124, steer: -0.029090, speed: 10.000000
 yellow line angle: -0.032870, obstacle angle: -0.034907, obstacle dist: 9.244377, obstacle steering: -0.005822, steer: -0.030041, speed: 10.000000
 yellow line angle: -0.032165, obstacle angle: -0.026180, obstacle dist: 9.148404, obstacle steering: -0.005575, steer: -0.030768, speed: 10.000000
 yellow line angle: -0.031651, obstacle angle: -0.026180, obstacle dist: 8.994390, obstacle steering: -0.005883, steer: -0.031214, speed: 10.000000
 yellow line angle: -0.030606, obstacle angle: -0.026180, obstacle dist: 8.846432, obstacle steering: -0.005913, steer: -0.030071, speed: 10.000000
 yellow line angle: -0.028877, obstacle angle: -0.026180, obstacle dist: 8.701663, obstacle steering: -0.004350, steer: -0.028447, speed: 10.000000
 yellow line angle: -0.027445, obstacle angle: -0.026180, obstacle dist: 8.557512, obstacle steering: -0.002292, steer: -0.028846, speed: 10.000000
 yellow line angle: -0.025828, obstacle angle: -0.026180, obstacle dist: 8.415627, obstacle steering: -0.002250, steer: -0.028227, speed: 10.000000
 yellow line angle: -0.024815, obstacle angle: -0.026180, obstacle dist: 8.275292, obstacle steering: -0.001180, steer: -0.029331, speed: 10.000000
 yellow line angle: -0.023953, obstacle angle: -0.026180, obstacle dist: 8.135765, obstacle steering: -0.001820, steer: -0.029561, speed: 10.000000
 yellow line angle: -0.022749, obstacle angle: -0.017453, obstacle dist: 8.026783, obstacle steering: -0.000589, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.021153, obstacle angle: -0.017453, obstacle dist: 7.880408, obstacle steering: 0.000797, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.019177, obstacle angle: -0.017453, obstacle dist: 7.739027, obstacle steering: 0.001336, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.018396, obstacle angle: -0.017453, obstacle dist: 7.598251, obstacle steering: 0.001893, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.017747, obstacle angle: -0.017453, obstacle dist: 7.459023, obstacle steering: 0.002464, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.016860, obstacle angle: -0.017453, obstacle dist: 7.321436, obstacle steering: 0.003050, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.014759, obstacle angle: -0.008727, obstacle dist: 7.213020, obstacle steering: 0.004738, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.012928, obstacle angle: 0.000000, obstacle dist: 7.032542, obstacle steering: 0.006837, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.011163, obstacle angle: 0.000000, obstacle dist: 6.887647, obstacle steering: 0.007585, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.010415, obstacle angle: 0.000000, obstacle dist: 6.744341, obstacle steering: 0.008356, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.008501, obstacle angle: 0.000000, obstacle dist: 6.602985, obstacle steering: 0.009150, steer: -0.028712, speed: 10.000000
 yellow line angle: -0.008042, obstacle angle: 0.008727, obstacle dist: 6.498452, obstacle steering: -0.065840, steer: -0.065840, speed: 10.000000
 yellow line angle: -0.006355, obstacle angle: 0.008727, obstacle dist: 6.347992, obstacle steering: -0.103848, steer: -0.103848, speed: 10.000000
 yellow line angle: -0.005325, obstacle angle: 0.008727, obstacle dist: 6.204281, obstacle steering: -0.142736, steer: -0.142736, speed: 10.000000
 yellow line angle: -0.001854, obstacle angle: 0.017453, obstacle dist: 6.101187, obstacle steering: -0.180851, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.002378, obstacle angle: 0.026180, obstacle dist: 5.925852, obstacle steering: -0.218621, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.008118, obstacle angle: 0.034907, obstacle dist: 5.817865, obstacle steering: -0.217822, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.015164, obstacle angle: 0.043633, obstacle dist: 5.666270, obstacle steering: -0.217271, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.023107, obstacle angle: 0.069813, obstacle dist: 5.535300, obstacle steering: -0.213403, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.032482, obstacle angle: 0.078540, obstacle dist: 5.437982, obstacle steering: -0.212381, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.041728, obstacle angle: 0.095993, obstacle dist: 5.294310, obstacle steering: -0.209940, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.052536, obstacle angle: 0.113446, obstacle dist: 5.153010, obstacle steering: -0.207351, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.062208, obstacle angle: 0.130900, obstacle dist: 5.010202, obstacle steering: -0.204623, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.073395, obstacle angle: 0.148353, obstacle dist: 4.867365, obstacle steering: -0.201734, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.083869, obstacle angle: 0.165806, obstacle dist: 4.723056, obstacle steering: -0.198677, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.095030, obstacle angle: 0.191986, obstacle dist: 4.602021, obstacle steering: -0.193457, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.107350, obstacle angle: 0.200713, obstacle dist: 4.477499, obstacle steering: -0.191859, steer: -0.180851, speed: 10.000000
 yellow line angle: 0.113281, obstacle angle: 0.226893, obstacle dist: 4.370680, obstacle steering: -0.186138, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.244346, obstacle dist: 4.235569, obstacle steering: -0.182186, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.261799, obstacle dist: 4.078398, obstacle steering: -0.177958, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.270526, obstacle dist: 3.961485, obstacle steering: -0.175670, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.279252, obstacle dist: 3.867300, obstacle steering: -0.173287, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.296706, obstacle dist: 3.752423, obstacle steering: -0.168404, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.305432, obstacle dist: 3.699231, obstacle steering: -0.165866, steer: -0.180851, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: 0.322886, obstacle dist: 3.624656, obstacle steering: -0.160743, steer: -0.180851, speed: 10.000000
 yellow line angle: -0.119708, obstacle angle: 0.279252, obstacle dist: 19.791565, obstacle steering: -0.046169, steer: -0.051301, speed: 10.000000
 yellow line angle: -0.122486, obstacle angle: 0.279252, obstacle dist: 19.693661, obstacle steering: -0.049816, steer: -0.053883, speed: 10.000000
 yellow line angle: -0.126288, obstacle angle: 0.296706, obstacle dist: 19.422060, obstacle steering: -0.050253, steer: -0.055194, speed: 10.000000
 yellow line angle: -0.128439, obstacle angle: 0.296706, obstacle dist: 19.291643, obstacle steering: -0.052773, steer: -0.056388, speed: 10.000000
 yellow line angle: -0.132172, obstacle angle: 0.314159, obstacle dist: 19.048279, obstacle steering: -0.054490, steer: -0.057631, speed: 10.000000
 yellow line angle: -0.134001, obstacle angle: 0.314159, obstacle dist: 18.914417, obstacle steering: -0.054239, steer: -0.059516, speed: 10.000000
 yellow line angle: -0.137090, obstacle angle: 0.331612, obstacle dist: 18.670568, obstacle steering: -0.055912, steer: -0.061234, speed: 10.000000
 yellow line angle: -0.138197, obstacle angle: 0.331612, obstacle dist: 18.561607, obstacle steering: -0.056837, steer: -0.061586, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000, speed: 10.000000
 yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000, speed: 20.000000
 yellow line angle: 0.004183, obstacle angle: 0.095993, obstacle dist: 19.958397, obstacle steering: -0.002474, steer: 0.005242, speed: 20.000000
 yellow line angle: 0.002803, obstacle angle: 0.095993, obstacle dist: 19.681553, obstacle steering: -0.002583, steer: 0.005242, speed: 20.000000
 yellow line angle: 0.002067, obstacle angle: 0.095993, obstacle dist: 19.404743, obstacle steering: -0.002694, steer: 0.005242, speed: 20.000000
 yellow line angle: 0.002244, obstacle angle: 0.095993, obstacle dist: 19.127619, obstacle steering: -0.002809, steer: 0.005242, speed: 20.000000
 yellow line angle: 0.001984, obstacle angle: 0.095993, obstacle dist: 18.851574, obstacle steering: -0.002927, steer: 0.005242, speed: 20.000000
 yellow line angle: 0.000764, obstacle angle: 0.095993, obstacle dist: 18.578262, obstacle steering: -0.003047, steer: 0.005242, speed: 20.000000
 yellow line angle: -0.000923, obstacle angle: 0.095993, obstacle dist: 18.304710, obstacle steering: -0.003171, steer: -0.003611, speed: 20.000000
 yellow line angle: -0.002323, obstacle angle: 0.095993, obstacle dist: 18.032431, obstacle steering: -0.012151, steer: -0.012151, speed: 20.000000
 yellow line angle: -0.002654, obstacle angle: 0.095993, obstacle dist: 17.767660, obstacle steering: -0.020819, steer: -0.020819, speed: 20.000000
 yellow line angle: -0.002782, obstacle angle: 0.095993, obstacle dist: 17.513340, obstacle steering: -0.029613, steer: -0.029613, speed: 20.000000
 yellow line angle: -0.001843, obstacle angle: 0.095993, obstacle dist: 17.294373, obstacle steering: -0.038518, steer: -0.029613, speed: 20.000000
 yellow line angle: -0.000444, obstacle angle: 0.104720, obstacle dist: 16.905830, obstacle steering: -0.038206, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.001081, obstacle angle: 0.113446, obstacle dist: 16.730867, obstacle steering: -0.037775, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.003250, obstacle angle: 0.113446, obstacle dist: 16.431765, obstacle steering: -0.037923, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.005309, obstacle angle: 0.113446, obstacle dist: 16.196505, obstacle steering: -0.038044, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.008089, obstacle angle: 0.130900, obstacle dist: 15.870829, obstacle steering: -0.037117, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.010927, obstacle angle: 0.130900, obstacle dist: 15.525702, obstacle steering: -0.037284, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.014105, obstacle angle: 0.130900, obstacle dist: 15.224982, obstacle steering: -0.037436, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.017335, obstacle angle: 0.139626, obstacle dist: 15.006262, obstacle steering: -0.036968, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.020481, obstacle angle: 0.139626, obstacle dist: 14.714826, obstacle steering: -0.037114, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.023399, obstacle angle: 0.148353, obstacle dist: 14.526915, obstacle steering: -0.036610, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.027005, obstacle angle: 0.157080, obstacle dist: 14.169505, obstacle steering: -0.036171, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.030313, obstacle angle: 0.157080, obstacle dist: 13.897303, obstacle steering: -0.036299, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.034775, obstacle angle: 0.165806, obstacle dist: 13.688523, obstacle steering: -0.035764, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.038202, obstacle angle: 0.174533, obstacle dist: 13.345294, obstacle steering: -0.035268, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.042566, obstacle angle: 0.183259, obstacle dist: 13.126742, obstacle steering: -0.034697, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.046258, obstacle angle: 0.191986, obstacle dist: 12.800937, obstacle steering: -0.034145, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.050570, obstacle angle: 0.200713, obstacle dist: 12.576948, obstacle steering: -0.033532, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.055620, obstacle angle: 0.209439, obstacle dist: 12.260230, obstacle steering: -0.032921, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.059664, obstacle angle: 0.218166, obstacle dist: 12.030934, obstacle steering: -0.032259, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.064394, obstacle angle: 0.226893, obstacle dist: 11.854789, obstacle steering: -0.031562, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.067735, obstacle angle: 0.235619, obstacle dist: 11.489578, obstacle steering: -0.030865, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.072330, obstacle angle: 0.253073, obstacle dist: 11.234896, obstacle steering: -0.029339, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.076865, obstacle angle: 0.253073, obstacle dist: 10.957502, obstacle steering: -0.029333, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.082083, obstacle angle: 0.270526, obstacle dist: 10.688848, obstacle steering: -0.027693, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.087470, obstacle angle: 0.279252, obstacle dist: 10.465223, obstacle steering: -0.026818, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.091951, obstacle angle: 0.296706, obstacle dist: 10.205672, obstacle steering: -0.025036, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.095985, obstacle angle: 0.305432, obstacle dist: 9.899322, obstacle steering: -0.024013, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.100559, obstacle angle: 0.305432, obstacle dist: 9.666311, obstacle steering: -0.023878, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.106006, obstacle angle: 0.314159, obstacle dist: 9.400982, obstacle steering: -0.022788, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.111800, obstacle angle: 0.322886, obstacle dist: 9.154135, obstacle steering: -0.021651, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.116679, obstacle angle: 0.331612, obstacle dist: 8.928364, obstacle steering: -0.020472, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.122115, obstacle angle: 0.331612, obstacle dist: 8.896479, obstacle steering: -0.020439, steer: -0.029613, speed: 20.000000
 yellow line angle: 0.020978, obstacle angle: -0.130900, obstacle dist: 19.861908, obstacle steering: 0.033834, steer: 0.033834, speed: 20.000000
 yellow line angle: 0.016861, obstacle angle: -0.139626, obstacle dist: 19.467440, obstacle steering: 0.039504, steer: 0.039504, speed: 20.000000
 yellow line angle: 0.012843, obstacle angle: -0.139626, obstacle dist: 19.127728, obstacle steering: 0.045274, steer: 0.045274, speed: 20.000000
 yellow line angle: 0.007635, obstacle angle: -0.148353, obstacle dist: 18.940880, obstacle steering: 0.050641, steer: 0.050641, speed: 20.000000
 yellow line angle: 0.001891, obstacle angle: -0.148353, obstacle dist: 18.593946, obstacle steering: 0.056107, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.004109, obstacle angle: -0.148353, obstacle dist: 18.317619, obstacle steering: 0.061657, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.010412, obstacle angle: -0.157080, obstacle dist: 18.116222, obstacle steering: 0.061237, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.017835, obstacle angle: -0.165806, obstacle dist: 17.769812, obstacle steering: 0.060845, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.026204, obstacle angle: -0.174533, obstacle dist: 17.564770, obstacle steering: 0.060404, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.034401, obstacle angle: -0.191986, obstacle dist: 17.325291, obstacle steering: 0.059456, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.042594, obstacle angle: -0.191986, obstacle dist: 17.025511, obstacle steering: 0.059515, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.051228, obstacle angle: -0.209439, obstacle dist: 16.752600, obstacle steering: 0.058529, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.060138, obstacle angle: -0.209439, obstacle dist: 16.504353, obstacle steering: 0.058565, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.068971, obstacle angle: -0.226893, obstacle dist: 16.202744, obstacle steering: 0.057534, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.077453, obstacle angle: -0.244346, obstacle dist: 15.978497, obstacle steering: 0.056461, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.086152, obstacle angle: -0.244346, obstacle dist: 15.674306, obstacle steering: 0.056468, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.095556, obstacle angle: -0.261799, obstacle dist: 15.407015, obstacle steering: 0.055342, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.105898, obstacle angle: -0.270526, obstacle dist: 15.223227, obstacle steering: 0.054759, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.116129, obstacle angle: -0.279252, obstacle dist: 14.883663, obstacle steering: 0.054142, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.125990, obstacle angle: -0.296706, obstacle dist: 14.620115, obstacle steering: 0.052913, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.135932, obstacle angle: -0.305432, obstacle dist: 14.436669, obstacle steering: 0.052268, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.146039, obstacle angle: -0.322886, obstacle dist: 14.164504, obstacle steering: 0.050962, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.156594, obstacle angle: -0.331612, obstacle dist: 13.856132, obstacle steering: 0.050217, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.167849, obstacle angle: -0.340339, obstacle dist: 13.590117, obstacle steering: 0.049460, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.179062, obstacle angle: -0.349066, obstacle dist: 13.352110, obstacle steering: 0.048688, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.189633, obstacle angle: -0.349066, obstacle dist: 13.298333, obstacle steering: 0.048658, steer: 0.056107, speed: 20.000000
 yellow line angle: -0.177224, obstacle angle: 0.130900, obstacle dist: 19.794514, obstacle steering: -0.077245, steer: -0.077245, speed: 20.000000
 yellow line angle: -0.171548, obstacle angle: 0.139626, obstacle dist: 19.608822, obstacle steering: -0.082874, steer: -0.082874, speed: 20.000000
 yellow line angle: -0.166301, obstacle angle: 0.148353, obstacle dist: 19.243622, obstacle steering: -0.088156, steer: -0.088156, speed: 20.000000
 yellow line angle: -0.159754, obstacle angle: 0.157080, obstacle dist: 19.068762, obstacle steering: -0.093029, steer: -0.093029, speed: 20.000000
 yellow line angle: -0.152923, obstacle angle: 0.174533, obstacle dist: 18.787546, obstacle steering: -0.097046, steer: -0.097046, speed: 20.000000
 yellow line angle: -0.145532, obstacle angle: 0.183259, obstacle dist: 18.442112, obstacle steering: -0.100665, steer: -0.100665, speed: 20.000000
 yellow line angle: -0.138031, obstacle angle: 0.200713, obstacle dist: 18.177553, obstacle steering: -0.103376, steer: -0.103376, speed: 20.000000
 yellow line angle: -0.129705, obstacle angle: 0.209439, obstacle dist: 17.998793, obstacle steering: -0.105630, steer: -0.105630, speed: 20.000000
 yellow line angle: -0.119895, obstacle angle: 0.226893, obstacle dist: 17.717535, obstacle steering: -0.106934, steer: -0.106934, speed: 20.000000
 yellow line angle: -0.109942, obstacle angle: 0.244346, obstacle dist: 17.454807, obstacle steering: -0.107258, steer: -0.107258, speed: 20.000000
 yellow line angle: -0.099201, obstacle angle: 0.261799, obstacle dist: 17.197489, obstacle steering: -0.106572, steer: -0.106572, speed: 20.000000
 yellow line angle: -0.088710, obstacle angle: 0.279252, obstacle dist: 16.945240, obstacle steering: -0.104846, steer: -0.104846, speed: 20.000000
 yellow line angle: -0.077662, obstacle angle: 0.296706, obstacle dist: 16.696043, obstacle steering: -0.102048, steer: -0.102048, speed: 20.000000
 yellow line angle: -0.065871, obstacle angle: 0.314159, obstacle dist: 16.451740, obstacle steering: -0.098149, steer: -0.098149, speed: 20.000000
 yellow line angle: -0.053793, obstacle angle: 0.322886, obstacle dist: 16.213161, obstacle steering: -0.093653, steer: -0.093653, speed: 20.000000
 yellow line angle: -0.040898, obstacle angle: 0.331612, obstacle dist: 16.060057, obstacle steering: -0.088571, steer: -0.088571, speed: 20.000000
 yellow line angle: -0.093578, obstacle angle: -0.104720, obstacle dist: 19.928789, obstacle steering: -0.085821, steer: -0.091907, speed: 20.000000
 yellow line angle: -0.086813, obstacle angle: -0.095993, obstacle dist: 19.688370, obstacle steering: -0.084084, steer: -0.089309, speed: 20.000000
 yellow line angle: -0.079310, obstacle angle: -0.095993, obstacle dist: 19.422937, obstacle steering: -0.081380, steer: -0.086434, speed: 20.000000
 yellow line angle: -0.071727, obstacle angle: -0.078540, obstacle dist: 19.122440, obstacle steering: -0.077468, steer: -0.084807, speed: 20.000000
 yellow line angle: -0.064081, obstacle angle: -0.069813, obstacle dist: 18.930475, obstacle steering: -0.075289, steer: -0.083155, speed: 20.000000
 yellow line angle: -0.056777, obstacle angle: -0.061086, obstacle dist: 18.558517, obstacle steering: -0.072975, steer: -0.082353, speed: 20.000000
 yellow line angle: -0.049034, obstacle angle: -0.052360, obstacle dist: 18.358984, obstacle steering: -0.071588, steer: -0.079833, speed: 20.000000
 yellow line angle: -0.041583, obstacle angle: -0.043633, obstacle dist: 17.997833, obstacle steering: -0.068367, steer: -0.078805, speed: 20.000000
 yellow line angle: -0.033867, obstacle angle: -0.026180, obstacle dist: 17.812475, obstacle steering: -0.066239, steer: -0.076549, speed: 20.000000
 yellow line angle: -0.026332, obstacle angle: -0.017453, obstacle dist: 17.442360, obstacle steering: -0.063216, steer: -0.075186, speed: 20.000000
 yellow line angle: -0.018426, obstacle angle: -0.008727, obstacle dist: 17.201595, obstacle steering: -0.061160, steer: -0.072577, speed: 20.000000
 yellow line angle: -0.010666, obstacle angle: 0.000000, obstacle dist: 16.877403, obstacle steering: -0.057764, steer: -0.070992, speed: 20.000000
 yellow line angle: -0.003083, obstacle angle: 0.008727, obstacle dist: 16.665665, obstacle steering: -0.085470, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.004246, obstacle angle: 0.026180, obstacle dist: 16.329708, obstacle steering: -0.099176, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.012204, obstacle angle: 0.034907, obstacle dist: 16.105263, obstacle steering: -0.098825, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.021213, obstacle angle: 0.043633, obstacle dist: 15.776154, obstacle steering: -0.098551, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.031817, obstacle angle: 0.052360, obstacle dist: 15.551894, obstacle steering: -0.098178, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.041791, obstacle angle: 0.069813, obstacle dist: 15.289347, obstacle steering: -0.097255, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.051813, obstacle angle: 0.069813, obstacle dist: 15.021932, obstacle steering: -0.097465, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.061077, obstacle angle: 0.087266, obstacle dist: 14.722961, obstacle steering: -0.096523, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.071457, obstacle angle: 0.095993, obstacle dist: 14.411579, obstacle steering: -0.096156, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.082110, obstacle angle: 0.095993, obstacle dist: 14.214367, obstacle steering: -0.096304, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.092616, obstacle angle: 0.113446, obstacle dist: 13.913485, obstacle steering: -0.095284, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.104334, obstacle angle: 0.130900, obstacle dist: 13.607654, obstacle steering: -0.094222, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.115710, obstacle angle: 0.139626, obstacle dist: 13.349079, obstacle steering: -0.093738, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.128405, obstacle angle: 0.148353, obstacle dist: 13.118852, obstacle steering: -0.093218, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.140425, obstacle angle: 0.157080, obstacle dist: 12.786345, obstacle steering: -0.092737, steer: -0.085470, speed: 20.000000
 yellow line angle: 0.152970, obstacle angle: 0.174533, obstacle dist: 12.515804, obstacle steering: -0.091499, steer: -0.085470, speed: 20.000000
